species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Bolbometopon muricatum,rls,Scaridae,Actinopterygii,tropical,Excavator,130,normal,FALSE,FALSE
Brachaluteres jacksonianus,rls,Monacanthidae,Actinopterygii,temperate,Browsing herbivore,10,normal,FALSE,FALSE
Caesio caerulaurea,rls,Caesionidae,Actinopterygii,tropical,Planktivore,35,normal,FALSE,FALSE
Caesio cuning,rls,Caesionidae,Actinopterygii,tropical,Planktivore,60,normal,FALSE,FALSE
Caesio lunaris,rls,Caesionidae,Actinopterygii,tropical,Planktivore,40,normal,FALSE,FALSE
Caesio teres,rls,Caesionidae,Actinopterygii,tropical,Planktivore,40,lognormal,FALSE,FALSE
Caesioperca lepidoptera,rls,Serranidae,Actinopterygii,temperate,Planktivore,30,normal,FALSE,FALSE
Caesioperca rasor,rls,Serranidae,Actinopterygii,temperate,Planktivore,26,normal,FALSE,FALSE
Caesioscorpis theagenes,rls,Serranidae,Actinopterygii,temperate,Planktivore,16,lognormal,FALSE,FALSE
Cantherhines pardalis,rls,Monacanthidae,Actinopterygii,tropical,Benthic invertivore,25,normal,FALSE,FALSE
Canthigaster bennetti,rls,Tetraodontidae,Actinopterygii,tropical,Browsing herbivore,10,lognormal,FALSE,FALSE
Canthigaster callisterna,rls,Tetraodontidae,Actinopterygii,temperate,Omnivore,23,lognormal,FALSE,FALSE
Canthigaster papua,rls,Tetraodontidae,Actinopterygii,tropical,Omnivore,10,normal,FALSE,FALSE
