species,size_class,size_min,size_max,std_mk,name,value
Notolabrus fucicola,2.5,1.25,3.75,2.177218255,lbspr_mk15,0.07876145222169859
Notolabrus fucicola,5,3.75,6.25,2.177218255,lbspr,0.1049478636057293
Notolabrus fucicola,5,3.75,6.25,2.177218255,rls_obs,0.00320350311131597
Notolabrus fucicola,5,3.75,6.25,2.177218255,p_norm,0.00702644029688691
Notolabrus fucicola,5,3.75,6.25,2.177218255,p_lnorm,2.01034392997228e-5
Notolabrus fucicola,5,3.75,6.25,2.177218255,lbspr_mk15,0.07655423780843713
Notolabrus fucicola,7.5,6.25,8.75,2.177218255,lbspr,0.09776833394160991
Notolabrus fucicola,7.5,6.25,8.75,2.177218255,rls_obs,0.01350541599446877
Notolabrus fucicola,7.5,6.25,8.75,2.177218255,p_norm,0.01323269944707053
Notolabrus fucicola,7.5,6.25,8.75,2.177218255,p_lnorm,9.84450860240524e-4
Notolabrus fucicola,7.5,6.25,8.75,2.177218255,lbspr_mk15,0.07428216890702893
Notolabrus fucicola,10,8.75,11.25,2.177218255,lbspr,0.17432386138458683
Notolabrus fucicola,10,8.75,11.25,2.177218255,rls_obs,0.03556118921410463
Notolabrus fucicola,10,8.75,11.25,2.177218255,p_norm,0.02297054084299817
Notolabrus fucicola,10,8.75,11.25,2.177218255,p_lnorm,0.00892398729716533
Notolabrus fucicola,10,8.75,11.25,2.177218255,lbspr_mk15,0.1414465577399508
Notolabrus fucicola,12.5,11.25,13.75,2.177218255,lbspr,0.07672793467333308
