species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Chaetodon lunulatus,100,0,93.75,106.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,112.5,0,106.25,118.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,125,0,118.75,131.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,137.5,0,131.25,143.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,150,0,143.75,156.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,162.5,0,156.25,168.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,175,0,168.75,181.25,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,187.5,0,181.25,193.75,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,200,0,193.75,225,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,250,0,225,275,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,300,0,275,325,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,350,0,325,375,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
Chaetodon lunulatus,400,0,375,450,0,0,10.51,1.482,0.17,0.25,124,9.139002307828866
